0	True	2) Да на данный момент все обучены	True	1) Все направления охрана труда да и экология а медицинская пощада
380	True	2) Вот этого я не могу сказать	True	1) Установили обязательное обучение то как пожарности к минимуму охрана труда обязательно должно быть у вас
381	True	2) Не ну так вопрос ставится вот все звонят понимаете сезон у нас сегодня по налогам просрочка мы не можем собрать на налоги заплатить за прошлогодний то есть у нас просрочка идет мы должны в марте закрыть налоги мы налоги не можем заплатить потому что у нас текущая то есть ну либо нам вообще останавливается бросает работу	True	1) Ну хорошо роман иванович давайте тогда письмо я вам отправила вопросы возникнут если
382	True	2) Это у нас есть это у нас и есть	50/50	None
383	True	2) В конце года николай александрович в общем все есть	True	1) Должны быть документарные не знаю как они будут у вас проходить
384	False	None	None	None
385	True	2) Есть такое все нормально	False	None
386	True	2) О проверьте знаний требования охраны труда вот у меня есть такое	True	1) По сроку проверьте там на 3 года выдается когда проходили обучение когда
387	True	2) Пока по руководителем нет мы не получали не видел просто есть у нас наше производственные мощности проверяют вот ростехнадзор вот такие у нас	True	1) Ну вот у вас на сентябрь вообще да проверка она у вас стоит
388	False	None	None	None
389	False	None	None	None
390	True	2) Вот давайте на данные этапы пока нет	True	1) А вот когда ясно хорошо тогда в пятницу вас наберу и тогда запишем с вами на удобно для вас период да всего доброго до свидания
391	True	2) Мне нужно с этим вопросом не занимаюсь это юридическая часть уже	False	None
392	False	None	None	None
393	False	None	None	None
394	False	None	None	None
395	False	None	None	None
396	True	2) А все заказ мы заканчиваем не надо нам сейчас	True	1) Ну когда я могла бы вам перезвонить потому что вот мы сейчас будем сейчас конец месяца мы будем давать отчет по тем организациям кто обучил и кто не прошел курсы
397	True	2) Да да да у нас все есть все есть да вы на сбрасывали	50/50	None
398	False	None	None	None
399	False	None	None	None
400	True	2) Нет нет пока года получили	50/50	None
401	False	None	None	None
402	False	None	None	None
403	False	None	None	None
404	True	2) Ничего все нормально будет	False	None
405	True	2) У меня есть я в принципе я многим пишу потому что у меня ну такие вот ситуации случается луж извините конечно просто мы сами не успеваем за эть минувший ство мигна	50/50	None
406	False	None	None	None
407	False	None	None	None
408	False	None	None	None
409	True	2) Поэтапно все проходит	True	1) Давайте хорошо давайте тогда так договоримся тогда хорошего вечера до свидания всего доброго
410	False	None	None	None
411	False	None	None	None
412	False	None	None	None
413	False	None	None	None
414	False	None	None	None
415	True	2) Прошло все по сим суммам по 1250	False	None
416	False	None	None	None
417	True	2) Ну не знаю я то туда не буду заходить не могу сказать есть ли у меня вопрос	False	None
418	True	2) Вот я говорю она пышка она с пышкой только делает через 1 с через госуслуги через казначейский портал только таким вариантом мы работаем то есть у нас вот этих программ нет хотя бис у нас есть по моему в рану я даже не знаю как там можно перенаправить	True	1) Да и там еще потом смотрите вот понятно что вы там отправляете через госуслуги да закупки у вас тоже что я специфика работы мы обычно отправляем договор мы обычно направляем ну в электронной почте и потом через бис ну тоже из 1 с у нас идет отправка
419	False	None	None	None
420	False	None	None	None
421	True	2) Хорошо спасибо но в рамках тесто я просто хотела записать свое мнение о том как это сейчас это все выглядит и как оно работает я не могу сказать к сожалению сказать потому что у меня только скриншоты прислали и могу написать	50/50	None
422	False	None	None	None
423	False	None	None	None
424	True	2) Пока нет	True	1) Да нет я по электронной почта это да просто напросто у нас там субсидии выделена для тех кто пользуется электрон цифровой подписью там бы
425	True	2) А да да да я поняла нет пока ничего не надумала кология точно не будем делать получаешь пока не знаю	True	1) Это охрана труда на вообще жбы должна быть у всех отдал
426	False	None	None	None
427	False	None	None	None
428	False	None	None	None
429	False	None	None	None
430	False	None	None	None
431	True	2) Если будут какие то вопросы мы вам позвонил у нас есть ваш номер телефона как виза	False	None
432	False	None	None	None
433	False	None	None	None
434	False	None	None	None
435	False	None	None	None
436	False	None	None	None
437	True	2) У нас все пройдено это да да да	True	1) Ну ясно ладно хорошо то есть самое главное чтобы обучение было потому что там по программе смотрят хорошо все давайте тогда
438	True	2) Нет пока не попу нам пока не надо только не надо по пожарно техническому я уже просто не знала поэтому у нас уже контракт готов	True	1) Давайте тогда попозже с вами переговорим а вы посмотрите по вашим значит потребностям потому что другие школы садики подают по несколько удостоверение прям по 8 по 9 штук потому что сумма 9 350 она не меняется или у вас 2 удостоверения за эту сумму или у вас 8 или 10 понимаете
439	True	2) 6000 6000 что то около чуть чуть ну тоже также район район заказывала мы обучали все в районе	True	1) Так значит по 44 не надо только энергосбережения а вам может быть сделать например вам 2 удостоверения экология отходы и еще энергосбережение 3 3 удостоверения и за входу тоже сделать наверное экология и отходы да так вот сделаем
440	False	None	None	None
441	False	None	None	None
442	False	None	None	None
443	False	None	None	None
444	True	2) Дистанционный а в какой форме обучения проходит	True	1) А вот смотрите логин и пароль направляем вы заходите самостоятельно в личный кабинет это дистанционная форма обучения самостоятельно изучаете материалы а далее там же в личном кабинете у вас тестирование тоже сами заходите когда удобно вам сами проходите его мы уже видим результат потом оплаты и удостоверение вам уже доставляются
445	True	2) Ну понятно так ну нет предложение то заманчиво и прям вообще то есть мы обучаем только педагога уже правильно понимаю	True	1) Вот все то есть как бы все можете ну вот это вот дополнительно головная боль скажем так
446	False	None	None	None
447	False	None	None	None
448	False	None	None	None
449	True	2) На какие то рассказывать об акциях какие у нас есть чтобы клиенты были в курсе	50/50	None
450	False	None	None	None
451	True	2) То есть 5 6 сентября если мы с вами разрываем контракт какой то причине хотя я не собираюсь этого делать то все равно обучение оплачивается правильно	True	1) Вот а что еще хотела бы у вас уточнить скажите сергей с возражениями приходилось работать
452	False	None	None	None
453	False	None	None	None
454	True	2) Это выехать с бухгалтерия оформиться да договор нужно оформить оплатить и так далее и так далее ага как и раньше да как мы проходили	50/50	None
455	False	None	None	None
456	False	None	None	None
457	True	2) Подружка когда приглашаю на поехали в сентябре ну не знаю может за холодрыга будет в сентябре	50/50	None
458	True	2) Ну они нам пока продлили все это до октября обучения они пока не занимаются аттестацией	50/50	None
459	True	2) Ну мы обучаем здесь	50/50	None
460	False	None	None	None
461	True	2) Хорошо а я хотел спросить вот смотрите у меня есть наушники если я на сутки возьму вот наушники с микрофоном они подойдут	True	1) Так андрей давайте тогда определяться потому что мне нужно стопроцентная обратная связь о том что вы ходите вы или нет на обучение да мы не можем скажем так взять больше лимита кандидатов и у нас есть кандидаты которые записываются через неделю да потому что группа уже укомплектована давайте сделаем следующим образом вы постараетесь сегодня решить данный вопрос чтобы я уже 100 знала что вы выходите
462	True	2) Нет у меня есть обычные наушники как бы ну как телефоны только они	False	None
463	True	2) Вот все то есть все хорошо там получила проценты от суммы сделки через какое то время это же компания обращается компанию как	True	1) Да обязательно да о продаж декафон есть он прописан у вас будет в трудовом договоре это 35 разговоров с элпра ежедневно то есть звонков у вас деле может быть на порядок и больше но разговоров должно быть 35
464	True	2) У меня есть замочат только собака так что	50/50	None
465	False	None	None	None
466	False	None	None	None
467	False	None	None	None
468	True	2) Хорошо а я хотел спросить вот смотрите у меня есть наушники если я на сутки возьму вот наушники с микрофоном они подойдут	True	1) Так андрей давайте тогда определяться потому что мне нужно стопроцентная обратная связь о том что вы ходите вы или нет на обучение да мы не можем скажем так взять больше лимита кандидатов и у нас есть кандидаты которые записываются через неделю да потому что группа уже укомплектована давайте сделаем следующим образом вы постараетесь сегодня решить данный вопрос чтобы я уже 100 знала что вы выходите
469	True	2) Нет у меня есть обычные наушники как бы ну как телефоны только они	False	None
470	True	2) Вот все то есть все хорошо там получила проценты от суммы сделки через какое то время это же компания обращается компанию как	True	1) Да обязательно да о продаж декафон есть он прописан у вас будет в трудовом договоре это 35 разговоров с элпра ежедневно то есть звонков у вас деле может быть на порядок и больше но разговоров должно быть 35
471	True	2) У меня есть замочат только собака так что	50/50	None
472	False	None	None	None
473	False	None	None	None
474	False	None	None	None
475	True	2) Ну по охране труда у нас точно все обучены	True	1) А вот по другим направлениям
476	True	2) Да у нас и у меня есть и у филиалов есть	True	1) Это экология и охрана труда правильно у вас и замечательно здорово
477	True	2) Да у нас все замечательно в этом плане	True	1) Здорово здорово я прям рада за вас смотрите если у вас есть по какому то направлении
478	True	2) Ну ну да да да да нет у нас все обучено	True	1) Вот вам как интересно будет вот это направление то есть смотрите здесь и пожарно технический минимум и работа с отходами то есть если у вас есть вот потребность вот кого то обучить то можно было бы вот в эту акцию как говорится за 1 заплатить 11 получить удостоверение любых направлений пока нет да
479	False	None	None	None
480	True	2) Ой не могу сказать не знаю	50/50	None
481	True	2) У нас все прекрасно но опять стать наверно некорректно тоже по отношению ни ко мне вопрос этим не занимаюсь	50/50	None
482	True	2) Нет пока не буду во 1 мне чтобы даже деньги получить на это обучение	False	None
483	False	None	None	None
484	True	2) Мы по всем направлениям обычно у нас есть инженерная служба административно технический отдел который это отслеживает регулярно	50/50	None
485	False	None	None	None
486	True	2) Ну у меня какие то уже удостоверение есть ваше барнаульский почему я еще не клиент	False	None
487	False	None	None	None
488	False	None	None	None
489	False	None	None	None
490	False	None	None	None
491	False	None	None	None
492	True	2) Нет его нет пока здесь	True	1) Ну вот как бы узнать
493	False	None	None	None
494	False	None	None	None
495	False	None	None	None
496	False	None	None	None
497	True	2) У нас все есть	True	1) Про все все направления и экологии тоже сделали
498	True	2) Так ну во 1 экологическая нам не нужны экономическая тоже	True	1) Ну вот вы говорите по коверки пойдут
499	True	2) Нет я этим не занимаюсь вот	True	1) А вот так проверка нагрянет знаете и будет обидно обучение то копеечной штаты до 200000
500	False	None	None	None
501	True	2) Да есть у нас мы лицензировано в общей организации	False	None
502	True	2) Вы опять не говорите за акции я еще раз вам говорю мне не интересно я этим не занимаюсь	True	1) Ну вот обычно я не общаюсь с теми людьми кто за проверки отвечает по охране труда смотрите у нас же тоже вот у нас например если на экологию мы обучаем то 5 лет вот сколько срок действия сертификация столько у вас личный кабинет открыт
503	False	None	None	None
504	True	2) Нет пока по времени уж я потом когда как нибудь может группа будет набираться или что то пока еще на приемке мы готовимся пока не до этого	True	1) Вообще 3 человека у вас должна быть комиссия даже если у вас 70 человек то у вас 5 человек должна быть комиссия по охране труда
505	True	2) У нас с проверками там все нормально	True	1) А вот их когда перенаправлено идут по документарную проверку а они сейчас идут потому что надо денег собрать в бюджете денег нет
506	True	2) Я вам не могу сказать по этим данным ничего	50/50	None
507	False	None	None	None
508	True	2) Я вам еще раз говорю мы договорились нам не нужно спасибо огромное спасибо нас будет обучать всему уже готовым платежный документ вот я вам говорю что они будут платить не свое не ваше время мы договорились все спасибо огромное	False	None
509	False	None	None	None
510	True	2) Мы это проходили мы это проходили у пожарников да это мы это проходили у нас эти документы все это есть и даже удостоверена выдали что мы это прошли	True	1) Помет помощи можно бесплатно обучить если вот ну кому то потребуется
511	True	2) А почему институт повышения квалификации наше в махачкале с кем не занимается	50/50	None
512	False	None	None	None
513	True	2) Если мы обучаемся за 9 по экологии	50/50	None
514	True	2) Охрана труда интересует частом же еще курочки пока нет вроде проходили курс	True	1) Угу и то есть вот по всем вот этим направлением я значит проставляю вот а ларис николаевна обучение дистанционное только электронный документооборот то есть оригинал договора мы вам по почте высылать не будем почему такую скидку делаем потому что все будет у вас в электронном формате но синими печатями
515	False	None	None	None
516	True	2) Ну все мы бы так то прошли пожарный минимум вот сейчас сказать пожарный проверка была приемки все нормально спасибо большое	True	1) Вот смотрите у нас сейчас просто акция она длится у нас вот до пятницы
517	False	None	None	None
518	True	2) Мы обучали экологической безопасности у нас обученные	True	1) Ну вот должен быть обычно руководитель именно именно директор именно руководитель организации
519	False	None	None	None
520	True	2) Да ладно то есть мы не будем учиться ничего сдавать	True	1) Если что вот если если что вот это сотовый полину если вдруг не получится 21 они бывает немножко постани приходит а вот в понедельник например можете мне звонить без проблем я методиста быстро напишу могут вам папку спам попасть то есть они будут в дом
521	True	2) Ну 1 это помощь что я говорю у меня тут проходили пока у меня видеть вам в отпуске я не могу сказать	50/50	None
522	False	None	None	None
523	False	None	None	None
524	True	2) У нас есть пульт 18 года	True	1) Сейчас вот смотрите это программа ты приостановили тогда в конце июля но вот сейчас нам дали с понедельника по пятницу снова возможность работать бюджетников для того чтобы подготовить к учебному году и к проверкам
525	True	2) Ошибка калуги я же прошла в прошлом году за 7000 вы что я же вам говорила мы обучились уже мы за 7000 прошли это обучение вдвоем а вы нам говорите и я ему зам	True	1) Так ну так вот смотрите тогда если по 1 помощи то по 550 р у нас получится по программе вижен
526	False	None	None	None
527	True	2) Да мы проходили	True	1) Ну вот а прошло проверка как раз был а ту 3 года назад получается еще
528	True	2) Да пока нет у нас все обучены	50/50	None
529	False	None	None	None
530	False	None	None	None
531	True	2) Я только пони проходила обучение по тест проходила	True	1) А вот оно что
532	False	None	None	None
533	False	None	None	None
534	False	None	None	None
535	False	None	None	None
536	False	None	None	None
537	False	None	None	None
538	True	2) Не могу сказать	50/50	None
539	True	2) Ну у нас есть на сайте она но она пур нижнее подчеркивание рим собака майл точка ру	True	1) А в курсе да что руководители должны быть обучены по 7 федеральному закону статья 73 74
540	True	2) Нет обучение у нас есть нам у нас нет проект на сигнализации и	False	None
541	False	None	None	None
542	True	2) Нет ничего не поменялось денег нет пока ничего не могут нам платить	50/50	None
543	False	None	None	None
544	False	None	None	None
545	True	2) Я вам не могу сказать я как бы вот за что я вам отвечаю я вам говорю что отвечают	False	None
546	False	None	None	None
547	False	None	None	None
548	False	None	None	None
549	True	2) Ну мы обучались мы обучались и оплачивала учреждение	True	1) Вот смотрите если вдруг 100 вот какие есть варианты во 1 есть вариант
550	True	2) Нас проверяла министерство оно проверила что у нас ежегодно что то правильно но я не могу доказать я не могу найти где в каком документе это прописано то где то было поэтому я помню про это а вот где я не могу сказать	50/50	None
551	False	None	None	None
552	False	None	None	None
553	True	2) Как обучается да получается	True	1) Да ну вот у меня бух отдел нижнее подчеркивание мко собака mail ru есть
554	True	2) Не собираемся	True	1) Их тоже обязательно нужно обучать тем более сейчас
555	False	None	None	None
556	True	2) Обучался да да да	True	1) Отлично то есть охрана труда и пожарный технический минимум пишет в 2019 году правильно я понимаю
557	True	2) Да мы обучались у нас сейчас сроки истекли мы подали заявку на обучение заново	True	1) Не обучались да вот смотрите елена александровна мы формируем 2 группы для дистанционного обучения гла вот по этим тем направлением 1 24 сентября
558	True	2) А зачем оно мне чтобы я обучался у меня есть специалисты	True	1) Нет так зачем сергей васильевич вас нужно 1 вот например рабочий по пожарке
559	True	2) У меня мне до декабря я вас перебиваю мне до декабря еще курочки есть действительный	True	1) Так отлично то есть охрана труда пишу и пожарный технический минимум до декабря действует 20 года правильно
560	True	2) Охрана труда есть у нас специалист екатерина в том году значит минаева екатерина павловна	True	1) Вот смотрите мы формируем 2 группы для дистанционного обучения глав по экологической безопасности 1 24 августа 2 7 сентября
561	False	None	None	None
562	True	2) Обучалась да я выезжал туда там жила в кургане обучают но у меня тоже поучи тоже закончились сроки	True	1) Вот ну тогда в группу 7 сентября охрана труда и гражданская оборона записываю
563	False	None	None	None
564	False	None	None	None
565	False	None	None	None
566	True	2) Ну не знаю	True	1) Вот а давайте в октябре месяце я вас тогда перенаберу
567	False	None	None	None
568	True	2) Отхода есть у нас	50/50	None
569	False	None	None	None
570	False	None	None	None
571	True	2) 3 дня отпуска я ни 1 но не была еще понимаете я вот сегодня просто не пошла и поэтому я не могу сказать мне нужно посмотреть поэтому если вы мне перезвоните в понедельник 24 я вам смогу ответить на все вопросы	False	None
572	True	2) Нет пока нет	True	1) Совершенно потому что мы бы могли подключить программу и там подешево вас обучили бы
573	True	2) Ну по поводу экологической безопасности отходов я вам не могу сказать потому что у нас имеется служба экологии	True	1) Быть только по охране труда и пожарной безопасности да
574	True	2) А в учебный класс у нас есть тренажер и непосредственно обрабатывают люди навыки на тренажере	True	1) Ну вот мне бы хотелось направить вам предложение пока вот сейчас есть вот это предложение с гос поддержкой там достаточно дешево в общем то но тоже только дистанционно конечно по какому электронному адресу я могу это сделать
575	False	None	None	None
576	True	2) У меня есть корочки	50/50	None
577	False	None	None	None
578	True	2) Пока нет у меня	True	1) Ага а назначение когда у вас должно быть
579	False	None	None	None
580	True	2) Пакет документов там посмотрим будем учиться не будем но пока	True	1) Смотрите вот электронный адрес ярпост 0 3
581	False	None	None	None
582	False	None	None	None
583	True	2) Ну это у нас есть время потому что мы должны созвониться с руководителями и кто это	50/50	None
584	True	2) Ну не знаю не скоро еще придет	50/50	None
585	True	2) Да все у нас есть да	50/50	None
586	False	None	None	None
587	True	2) Не скажите с контрагентами не общается у нас есть отдел закупок	50/50	None
588	False	None	None	None
589	False	None	None	None
590	False	None	None	None
591	False	None	None	None
592	True	2) Я не могу сказать буду	True	1) Смотрите у нас есть готовая программа по данному направлению вам 11 12 человек да помет помощи нужно обучать
593	True	2) Ну дело в том что сейчас со мной после вашего разговора связался нашим металлический сусный центр ирина геннадьевна объясняет какая переподготовка если вы будете все препаратов проходить по каждому виду то мы только будем работать на приготовки она имеет ввиду что при подготовку мы проходим только 1 и то менуж остальное все что мы проходим выкати это курса	True	1) Вот смотрите ее можно назначить приказом как ответственную за входа по отходам и обучается за вход если приказа нету тогда отвечаете за отходы вы да и тогда обучаться по отходам нужно также вам а то что касательной экологии руководителя в обязательном порядке вот смотрите 73 статья
594	False	None	None	None
595	True	2) В мае уже истекло вот это это точно по остальным значит по гочс там запас есть и по охране труда еще 1 1 год	True	1) Я поняла просто смотрите здесь такой момент там же не только у вас должно быть должен же быть определенный пакет документов у вас в организации должно быть всего 7 удостоверение по охране труда то есть не только у вас да у сергея николаевича должно быть оно еще у кого то просто поднять
596	False	None	None	None
